Sample	CellType	Dataset
H1_rep1	hPSC	hESC_ours
H1_rep2	hPSC	hESC_ours
H1_rep3	hPSC	hESC_ours
H1_rep4	hPSC	hESC_ours
H9_rep1	hPSC	hESC_ours
H9_rep2	hPSC	hESC_ours
H9_rep3	hPSC	hESC_ours
Selmi_H9.WT.1.1_RNA-seq	hPSC	hESC_Selmi
Selmi_H9.WT.1.2_RNA-seq	hPSC	hESC_Selmi
Selmi_H9.WT.1.3_RNA-seq	hPSC	hESC_Selmi
Selmi_H9.WT.1.4_RNA-seq	hPSC	hESC_Selmi
Selmi_H9.WT.2.1_RNA-seq	hPSC	hESC_Selmi
Selmi_H9.WT.2.2_RNA-seq	hPSC	hESC_Selmi
Selmi_H9.WT.2.3_RNA-seq	hPSC	hESC_Selmi
PiPSC8_rep1	pPSC	piPSC_ours
PiPSC8_rep2	pPSC	piPSC_ours
PiPSC8_rep3	pPSC	piPSC_ours
PiPSC18.1_rep1	pPSC	piPSC_ours
PiPSC18.1_rep2	pPSC	piPSC_ours
PiPSC18.1_rep3	pPSC	piPSC_ours
PiPSC18.1_rep4	pPSC	piPSC_ours
PiPSC19_rep1	pPSC	piPSC_ours
PiPSC19_rep2	pPSC	piPSC_ours
PiPSC19_rep3	pPSC	piPSC_ours
PiPSC19_rep4	pPSC	piPSC_ours
PiPSC12_rep1	pPSC	piPSC_ours
PiPSC12_rep2	pPSC	piPSC_ours
PiPSC12_rep3	pPSC	piPSC_ours
PiPSC12_rep4	pPSC	piPSC_ours
PiPSC04_rep2	pPSC	piPSC_ours
PiPSC04_rep3	pPSC	piPSC_ours
PiPSC04_rep4	pPSC	piPSC_ours
PiPSC18.2_rep1	pPSC	piPSC_ours
PiPSC18.2_rep2	pPSC	piPSC_ours
PiPSC18.2_rep3	pPSC	piPSC_ours
PiPSC18.2_rep4	pPSC	piPSC_ours
Choi_PA_1_pESC_FIW_rep1	pPSC	pESC_Choi2024
Choi_PA_1_pESC_FIW_rep2	pPSC	pESC_Choi2024
Choi_PA_3_pESC_FIW_rep1	pPSC	pESC_Choi2024
Choi_PA_3_pESC_FIW_rep2	pPSC	pESC_Choi2024
Choi_IVF_1_pESC_FIW_rep1	pPSC	pESC_Choi2024
Choi_IVF_1_pESC_FIW_rep2	pPSC	pESC_Choi2024
